Laboratory,Test,adult,assay,collection,container,external,note,row,specimen,testCode,testId,transport
Microbiology,Lyme disease PCRAlternative Names:Borrelia PCR,4 mL,Weekly,"A separate container is required for this test.Department head authorisation required.

At least 0.5 mL CSF required.",EDTA 10 mLCSF Tube 3Plain 70mL pot,"Lyme disease PCRAlternative Names:Borrelia PCRLaboratory:MicrobiologyTest Code:LYMEPCRSpecimen Types:BloodCerebrospinal FluidTissueSwabContainer Types:EDTA 10 mLCSF Tube 3Plain 70mL potAdults Volume or Mass:4 mLCollection & Request Instructions:A separate container is required for this test.Department head authorisation required.

At least 0.5 mL CSF required.Transport Instructions between Sites and/or Laboratories:Room TemperatureAssay Frequency:Weekly",,"Lyme disease PCRAlternative Names:Borrelia PCRLaboratory:MicrobiologyTest Code:LYMEPCRSpecimen Types:BloodCerebrospinal FluidTissueSwabContainer Types:EDTA 10 mLCSF Tube 3Plain 70mL potAdults Volume or Mass:4 mLCollection & Request Instructions:A separate container is required for this test.Department head authorisation required.

At least 0.5 mL CSF required.Transport Instructions between Sites and/or Laboratories:Room TemperatureAssay Frequency:WeeklyExternal Laboratory:Australian Rickettsial Reference Laboratory",BloodCerebrospinal FluidTissueSwab,LYMEPCR,972,Room Temperature
Microbiology,Galactomannan (Serum),5 mL,Weekly,Department head authorisation required.,SST,Galactomannan (Serum)Laboratory:MicrobiologyTest Code:GALASpecimen Types:SerumContainer Types:SSTAdults Volume or Mass:5 mLCollection & Request Instructions:Department head authorisation required.Transport Instructions between Sites and/or Laboratories:Room TemperatureAssay Frequency:Weekly,,Galactomannan (Serum)Laboratory:MicrobiologyTest Code:GALASpecimen Types:SerumContainer Types:SSTAdults Volume or Mass:5 mLCollection & Request Instructions:Department head authorisation required.Transport Instructions between Sites and/or Laboratories:Room TemperatureAssay Frequency:WeeklyExternal Laboratory:SA Pathology,Serum,GALA,973,Room Temperature
Anatomical Pathology,1p/19q gene deletion in Oligodendrogliomas - Paraffin FISHAlternative Names:ODG 1p/19q LOH - Paraffin FISH,,"1p/19q gene deletion in Oligodendrogliomas - Paraffin FISHAlternative Names:ODG 1p/19q LOH - Paraffin FISHLaboratory:Anatomical PathologyTest Code:Anatomical Pathology  - Internal Add-on TestSpecimen Types:Paraffin Section (unstained)Container Types:Slide CytomailerCollection & Request Instructions:Sample Required:  Test requires unstained paraffin sections. 5 unstained coated slides. Cut section at 4um

1x H&E with area of interst markedTransport Instructions between Sites and/or Laboratories:Room Temperature","Sample Required:  Test requires unstained paraffin sections. 5 unstained coated slides. Cut section at 4um

1x H&E with area of interst marked",1p/19q gene deletion in Oligodendrogliomas - Paraffin FISHAlternative Names:ODG 1p/19q LOH - Paraffin FISHLaboratory:Anatomical PathologyTest Code:Anatomical Pathology  - Internal Add-on TestSpecimen Types:Paraffin Section (unstained),,,"1p/19q gene deletion in Oligodendrogliomas - Paraffin FISHAlternative Names:ODG 1p/19q LOH - Paraffin FISHLaboratory:Anatomical PathologyTest Code:Anatomical Pathology  - Internal Add-on TestSpecimen Types:Paraffin Section (unstained)Container Types:Slide CytomailerCollection & Request Instructions:Sample Required:  Test requires unstained paraffin sections. 5 unstained coated slides. Cut section at 4um

1x H&E with area of interst markedTransport Instructions between Sites and/or Laboratories:Room TemperatureAssay Frequency:Weekly",Paraffin Section (unstained),Anatomical Pathology  - Internal Add-on Test,974,Room Temperature
Test Purposes OnlyAlternative Names:Test entry,zzz For Admin Test Purposes OnlyAlternative Names:Test entry,,,zzz For Admin Test Purposes OnlyAlternative Names:Test entryLaboratory:Anatomical PathologyTest Code:os miscSpecimen Types:Paraffin Section (unstained)Container Types:Slide Cytomailer,zzz For Admin Test Purposes OnlyAlternative Names:Test entryLaboratory:Anatomical PathologyTest Code:os miscSpecimen Types:Paraffin Section (unstained),,,"zzz For Admin Test Purposes OnlyAlternative Names:Test entryLaboratory:Anatomical PathologyTest Code:os miscSpecimen Types:Paraffin Section (unstained)Container Types:Slide CytomailerCollection & Request Instructions:Test

Link to resources relating to autopsies are found at the bottom of the page.  

 

rnrn

The autopsy request form consists of 3 main parts.  

rnrn

Part A:  Completed by the requesting medical officer and signed by the senior available next of kin. Documents formal consent by the next of kin to an autopsy request. Also documents the autopsy option selected by the next of kin and any conditions on their consent being granted. Verbal consent to an autopsy is permitted but the requirements for informed consent still apply.  

rnrn

Part B:  Completed by the requesting medical officer. Provides clinical details for the pathologist. It is essential that the autopsy request include a detailed clinical history and pose specific questions to be answered by the pathologist. This is a professional courtesy as would be expected for any request for consultation from a senior medical specialist.  

rnrn

Part C:  Completed by the pathologists and documents final authorisation by the pathologist acting in their capacity as a designated officer under the human tissue act. 

Alfred Pathology Autopsy (Post Mortem) Service 

 

rnrn

Mortuary Technician Hours:             7:00 am – 4:00 pm 

rnrn

Mortuary Telephone:                         907 62684 

rnrn

Alfred Pathology Service cannot perform a hospital autopsy unless an Alfred Health Request for Non-Coronial Autopsy Form and the Death Certificate are completed.  

rnrn

The Alfred Health Request for Non-Coronial Autopsy Form can be printed from the Deceased Persons portal on the Alfred Health Connect webpage. Click on the ‘Resources and Tools’ tab on the home page and then select the ‘Deceased Persons Resource Pack’. Link to resources relating to autopsies are found at the bottom of the page.  

rnrn

The autopsy request form consists of 3 main parts.  

rnrn

Part A:  Completed by the requesting medical officer and signed by the senior available next of kin. Documents formal consent by the next of kin to an autopsy request. Also documents the autopsy option selected by the next of kin and any conditions on their consent being granted. Verbal consent to an autopsy is permitted but the requirements for informed consent still apply.  

rnrn

Part B:  Completed by the requesting medical officer. Provides clinical details for the pathologist. It is essential that the autopsy request include a detailed clinical history and pose specific questions to be answered by the pathologist. This is a professional courtesy as would be expected for any request for consultation from a senior medical specialist.  

rnrn

Part C:  Completed by the pathologists and documents final authorisation by the pathologist acting in their capacity as a designated officer under the human tissue act. 

rn",Paraffin Section (unstained),os misc,975,
Microbiology,Helicobacter pylori stool Antigen,,Twice weekly,"Amount of faeces required: walnut sized

Department Head authorisation required",Helicobacter pylori stool AntigenLaboratory:MicrobiologyTest Code:HEPYAGSpecimen Types:Faeces,"Helicobacter pylori stool AntigenLaboratory:MicrobiologyTest Code:HEPYAGSpecimen Types:FaecesContainer Types:Plain 70mL potCollection & Request Instructions:Amount of faeces required: walnut sized

Department Head authorisation requiredTransport Instructions between Sites and/or Laboratories:Room TemperatureAssay Frequency:Twice weekly",,"Helicobacter pylori stool AntigenLaboratory:MicrobiologyTest Code:HEPYAGSpecimen Types:FaecesContainer Types:Plain 70mL potCollection & Request Instructions:Amount of faeces required: walnut sized

Department Head authorisation requiredTransport Instructions between Sites and/or Laboratories:Room TemperatureAssay Frequency:Twice weeklyExternal Laboratory:Australian Clinical Labs - Clayton Laboratory",Faeces,HEPYAG,976,Room Temperature
Microbiology,Brucella culture,,"Brucella cultureLaboratory:MicrobiologyTest Code:BL C, BM CSpecimen Types:BloodBone MarrowContainer Types:Blood Culture BottlesCollection & Request Instructions:For suspected brucellosis, contact laboratory to ensure appropriate specimen handling. Enter suspected diagnosis in clinical notes.Transport Instructions between Sites and/or Laboratories:Room Temperature","For suspected brucellosis, contact laboratory to ensure appropriate specimen handling. Enter suspected diagnosis in clinical notes.","Brucella cultureLaboratory:MicrobiologyTest Code:BL C, BM CSpecimen Types:BloodBone Marrow",,,"Brucella cultureLaboratory:MicrobiologyTest Code:BL C, BM CSpecimen Types:BloodBone MarrowContainer Types:Blood Culture BottlesCollection & Request Instructions:For suspected brucellosis, contact laboratory to ensure appropriate specimen handling. Enter suspected diagnosis in clinical notes.Transport Instructions between Sites and/or Laboratories:Room TemperatureAssay Frequency:Daily",BloodBone Marrow,"BL C, BM C",977,Room Temperature
Microbiology,Mumps PCR,,Weekdays,"Collection InstructionsContainer Types:See Under Collection InstructionsAcceptable specimens:

CSF (at least 100 microlitres)

Nasopharyngeal aspirate

Nose/throat swab in viral transport medium

Saliva swab in viral transport medium

Urine

EDTA blood

Requesting doctor must notify DHS",Mumps PCRLaboratory:MicrobiologyTest Code:MUMPSPCRSpecimen Types:See Under Collection Instructions,"Mumps PCRLaboratory:MicrobiologyTest Code:MUMPSPCRSpecimen Types:See Under Collection InstructionsContainer Types:See Under Collection InstructionsCollection & Request Instructions:Acceptable specimens:

CSF (at least 100 microlitres)

Nasopharyngeal aspirate

Nose/throat swab in viral transport medium

Saliva swab in viral transport medium

Urine

EDTA blood

Requesting doctor must notify DHS

 Transport Instructions between Sites and/or Laboratories:Room TemperatureAssay Frequency:Weekdays",,"Mumps PCRLaboratory:MicrobiologyTest Code:MUMPSPCRSpecimen Types:See Under Collection InstructionsContainer Types:See Under Collection InstructionsCollection & Request Instructions:Acceptable specimens:

CSF (at least 100 microlitres)

Nasopharyngeal aspirate

Nose/throat swab in viral transport medium

Saliva swab in viral transport medium

Urine

EDTA blood

Requesting doctor must notify DHS

 Transport Instructions between Sites and/or Laboratories:Room TemperatureAssay Frequency:WeekdaysExternal Laboratory:V.I.D.R.L.",See Under Collection Instructions,MUMPSPCR,978,Room Temperature
Microbiology,Mycobacterial PCRAlternative Names:Mycobacterium species PCR,,Weekly,"AFB culture should also be requested.

This test does NOT detect M.tuberculosis.

Department Head authorisation required.

At least 1 mL of CSF required.",Mycobacterial PCRAlternative Names:Mycobacterium species PCRLaboratory:MicrobiologyTest Code:Mycobacterial DNA PCRSpecimen Types:Bronchial WashingsBronchoalveolar LavageTissueCerebrospinal Fluid,"Mycobacterial PCRAlternative Names:Mycobacterium species PCRLaboratory:MicrobiologyTest Code:Mycobacterial DNA PCRSpecimen Types:Bronchial WashingsBronchoalveolar LavageTissueCerebrospinal FluidContainer Types:Plain 70mL potCSF Tube 3Collection & Request Instructions:AFB culture should also be requested.

This test does NOT detect M.tuberculosis.

Department Head authorisation required.

At least 1 mL of CSF required.Transport Instructions between Sites and/or Laboratories:Room TemperatureAssay Frequency:Weekly",,"Mycobacterial PCRAlternative Names:Mycobacterium species PCRLaboratory:MicrobiologyTest Code:Mycobacterial DNA PCRSpecimen Types:Bronchial WashingsBronchoalveolar LavageTissueCerebrospinal FluidContainer Types:Plain 70mL potCSF Tube 3Collection & Request Instructions:AFB culture should also be requested.

This test does NOT detect M.tuberculosis.

Department Head authorisation required.

At least 1 mL of CSF required.Transport Instructions between Sites and/or Laboratories:Room TemperatureAssay Frequency:WeeklyExternal Laboratory:V.I.D.R.L.",Bronchial WashingsBronchoalveolar LavageTissueCerebrospinal Fluid,Mycobacterial DNA PCR,979,Room Temperature
Microbiology,Mycoplasma hominis culture,,Weekdays,Department Head authorisation required.,Mycoplasma hominis cultureLaboratory:MicrobiologyTest Code:Mycoplasma CultureSpecimen Types:Cerebrospinal FluidTissue,Mycoplasma hominis cultureLaboratory:MicrobiologyTest Code:Mycoplasma CultureSpecimen Types:Cerebrospinal FluidTissueContainer Types:CSF Tube 3Fresh Tissue PotCollection & Request Instructions:Department Head authorisation required.Transport Instructions between Sites and/or Laboratories:Room TemperatureAssay Frequency:Weekdays,,Mycoplasma hominis cultureLaboratory:MicrobiologyTest Code:Mycoplasma CultureSpecimen Types:Cerebrospinal FluidTissueContainer Types:CSF Tube 3Fresh Tissue PotCollection & Request Instructions:Department Head authorisation required.Transport Instructions between Sites and/or Laboratories:Room TemperatureAssay Frequency:WeekdaysExternal Laboratory:Melbourne Health Shared Pathology Service,Cerebrospinal FluidTissue,Mycoplasma Culture,980,Room Temperature
Microbiology,Mycoplasma genitalium PCRAlternative Names:M.genitalium PCRMycoplasma (genital type) PCR,,Weekly,"Males: First void urine is the preferred specimen. A urethral swab is the alternative specimen.

Females: First void urine or cervical/vaginal swab are the preferred specimen types.

Screening of asymptomatic individuals is not recommended.

Red-capped universal transport medium swabs or eSwabs can be used.

Department Head authorisation required ",Mycoplasma genitalium PCRAlternative Names:M.genitalium PCRMycoplasma (genital type) PCRLaboratory:MicrobiologyTest Code:MYCGENPCRSpecimen Types:SwabUrine First Catch,"Mycoplasma genitalium PCRAlternative Names:M.genitalium PCRMycoplasma (genital type) PCRLaboratory:MicrobiologyTest Code:MYCGENPCRSpecimen Types:SwabUrine First CatchContainer Types:Viral Transport Medium SwabPlain 70mL potCollection & Request Instructions:Males: First void urine is the preferred specimen. A urethral swab is the alternative specimen.

Females: First void urine or cervical/vaginal swab are the preferred specimen types.

Screening of asymptomatic individuals is not recommended.

Red-capped universal transport medium swabs or eSwabs can be used.

Department Head authorisation required Transport Instructions between Sites and/or Laboratories:Room TemperatureAssay Frequency:Weekly",,"Mycoplasma genitalium PCRAlternative Names:M.genitalium PCRMycoplasma (genital type) PCRLaboratory:MicrobiologyTest Code:MYCGENPCRSpecimen Types:SwabUrine First CatchContainer Types:Viral Transport Medium SwabPlain 70mL potCollection & Request Instructions:Males: First void urine is the preferred specimen. A urethral swab is the alternative specimen.

Females: First void urine or cervical/vaginal swab are the preferred specimen types.

Screening of asymptomatic individuals is not recommended.

Red-capped universal transport medium swabs or eSwabs can be used.

Department Head authorisation required Transport Instructions between Sites and/or Laboratories:Room TemperatureAssay Frequency:WeeklyExternal Laboratory:Royal Women's Hospital Laboratory Services",SwabUrine First Catch,MYCGENPCR,981,"Transport Medium SwabPlain 70mL potCollection & Request Instructions:Males: First void urine is the preferred specimen. A urethral swab is the alternative specimen.

Females: First void urine or cervical/vaginal swab are the preferred specimen types.

Screening of asymptomatic individuals is not recommended.

Red-capped universal transport medium swabs or eSwabs can be used.

Department Head authorisation required Room Temperature"
Test,Hepatitis C Supplemental Test,,Weekly,"Ordered by laboratory when required.

Performed on patients with no history of positive Hepatitis C antibody status at Alfred Health.","Hepatitis C Supplemental TestLaboratory:MicrobiologyTest Code:Hepatitis C Supplemental Tests, Hepatitis C Sup. Test (NRL)Specimen Types:Serum","Hepatitis C Supplemental TestLaboratory:MicrobiologyTest Code:Hepatitis C Supplemental Tests, Hepatitis C Sup. Test (NRL)Specimen Types:SerumContainer Types:SSTCollection & Request Instructions:Ordered by laboratory when required.

Performed on patients with no history of positive Hepatitis C antibody status at Alfred Health.Transport Instructions between Sites and/or Laboratories:Room TemperatureAssay Frequency:Weekly",,"Hepatitis C Supplemental TestLaboratory:MicrobiologyTest Code:Hepatitis C Supplemental Tests, Hepatitis C Sup. Test (NRL)Specimen Types:SerumContainer Types:SSTCollection & Request Instructions:Ordered by laboratory when required.

Performed on patients with no history of positive Hepatitis C antibody status at Alfred Health.Transport Instructions between Sites and/or Laboratories:Room TemperatureAssay Frequency:WeeklyExternal Laboratory:V.I.D.R.L.",Serum,"Hepatitis C Supplemental Tests, Hepatitis C Sup. Test (NRL)",982,Room Temperature
Microbiology,HTLV 1 PCR,10 mL,Weekly,Department Head authorisation required for this test.,EDTA 10 mL,HTLV 1 PCRLaboratory:MicrobiologyTest Code:Miscellaneous SerologySpecimen Types:PlasmaContainer Types:EDTA 10 mLAdults Volume or Mass:10 mLCollection & Request Instructions:Department Head authorisation required for this test.Transport Instructions between Sites and/or Laboratories:Room TemperatureSend to VIDRL as soon as possible after collection.Assay Frequency:Weekly,,HTLV 1 PCRLaboratory:MicrobiologyTest Code:Miscellaneous SerologySpecimen Types:PlasmaContainer Types:EDTA 10 mLAdults Volume or Mass:10 mLCollection & Request Instructions:Department Head authorisation required for this test.Transport Instructions between Sites and/or Laboratories:Room TemperatureSend to VIDRL as soon as possible after collection.Assay Frequency:WeeklyExternal Laboratory:V.I.D.R.L.,Plasma,Miscellaneous Serology,983,Room TemperatureSend to VIDRL as soon as possible after collection.
Microbiology,HIV Serology (Confirmation)Alternative Names:HIV Western Blot,,Weekly,Ordered by laboratory on patients showing reactivity in the HIV screening assay.,"HIV Serology (Confirmation)Alternative Names:HIV Western BlotLaboratory:MicrobiologyTest Code:HIV Antibody by Western Blot, SERO1WBSpecimen Types:Serum","HIV Serology (Confirmation)Alternative Names:HIV Western BlotLaboratory:MicrobiologyTest Code:HIV Antibody by Western Blot, SERO1WBSpecimen Types:SerumContainer Types:SSTCollection & Request Instructions:Ordered by laboratory on patients showing reactivity in the HIV screening assay.Transport Instructions between Sites and/or Laboratories:Code patient details on referral form and backing sheet.  Use first 2 letters of surname, first 2 letters of first name.  Remove street address and phone number.  Supply sex, date of birth and postcode.

Record screening test results on referral form for VIDRL.

 Assay Frequency:Weekly",,"HIV Serology (Confirmation)Alternative Names:HIV Western BlotLaboratory:MicrobiologyTest Code:HIV Antibody by Western Blot, SERO1WBSpecimen Types:SerumContainer Types:SSTCollection & Request Instructions:Ordered by laboratory on patients showing reactivity in the HIV screening assay.Transport Instructions between Sites and/or Laboratories:Code patient details on referral form and backing sheet.  Use first 2 letters of surname, first 2 letters of first name.  Remove street address and phone number.  Supply sex, date of birth and postcode.

Record screening test results on referral form for VIDRL.

 Assay Frequency:WeeklyExternal Laboratory:V.I.D.R.L.",Serum,"HIV Antibody by Western Blot, SERO1WB",984,"Code patient details on referral form and backing sheet.  Use first 2 letters of surname, first 2 letters of first name.  Remove street address and phone number.  Supply sex, date of birth and postcode.

Record screening test results on referral form for VIDRL."
Microbiology,HIV-2 PCR,,,"Test not available.

 ",HIV-2 PCRLaboratory:MicrobiologyTest Code:Test not available.Specimen Types:No specimen,,,"HIV-2 PCRLaboratory:MicrobiologyTest Code:Test not available.Specimen Types:No specimenContainer Types:Report OnlyCollection & Request Instructions:Test not available.

 Transport Instructions between Sites and/or Laboratories:See Detailed Information",No specimen,Test not available.,985,HIV-2 PCRLaboratory:MicrobiologyTest Code:Test not available.Specimen Types:No specimenContainer Types:Report OnlyCollection & Request Instructions:Test not available.
Microbiology,Human Papilloma virus PCRAlternative Names:HPV PCR,,By Arrangement,"Department Head authorisation required.

DO NOT collect samples in viral transport medium.

Vaginal lavages also acceptable specimen.

 ",Human Papilloma virus PCRAlternative Names:HPV PCRLaboratory:MicrobiologyTest Code:Human Papilloma virus DNA PCRSpecimen Types:TissueSwab,Royal Women's Hospital Laboratory Services,Samples are batched.  Long turnaround time for results expected.,"Human Papilloma virus PCRAlternative Names:HPV PCRLaboratory:MicrobiologyTest Code:Human Papilloma virus DNA PCRSpecimen Types:TissueSwabContainer Types:Fresh Tissue PotDry SwabCollection & Request Instructions:Department Head authorisation required.

DO NOT collect samples in viral transport medium.

Vaginal lavages also acceptable specimen.

 Transport Instructions between Sites and/or Laboratories:Room TemperatureAssay Frequency:By ArrangementExternal Laboratory:Royal Women's Hospital Laboratory ServicesAdditional Notes:Samples are batched.  Long turnaround time for results expected.",TissueSwab,Human Papilloma virus DNA PCR,986,Room Temperature
Microbiology,Japanese encephalitis virus PCRAlternative Names:JBE PCR,"Japanese encephalitis virus PCRAlternative Names:JBE PCRLaboratory:MicrobiologyTest Code:Japanese encephalitis virus RNA PCR, JBEPCRSpecimen Types:Cerebrospinal FluidContainer Types:CSF Tube 3",By Arrangement,,CSF Tube 3,"Japanese encephalitis virus PCRAlternative Names:JBE PCRLaboratory:MicrobiologyTest Code:Japanese encephalitis virus RNA PCR, JBEPCRSpecimen Types:Cerebrospinal FluidContainer Types:CSF Tube 3Adults Volume or Mass:0.5 mLTransport Instructions between Sites and/or Laboratories:Room TemperatureAssay Frequency:By Arrangement",,"Japanese encephalitis virus PCRAlternative Names:JBE PCRLaboratory:MicrobiologyTest Code:Japanese encephalitis virus RNA PCR, JBEPCRSpecimen Types:Cerebrospinal FluidContainer Types:CSF Tube 3Adults Volume or Mass:0.5 mLTransport Instructions between Sites and/or Laboratories:Room TemperatureAssay Frequency:By ArrangementExternal Laboratory:Queensland Health Forensic & Scientific Services",Cerebrospinal Fluid,"Japanese encephalitis virus RNA PCR, JBEPCR",987,Room Temperature
Microbiology,Leishmania PCR,,By Arrangement,"Department Head authorisation required.

For visceral leishmaniasis - collect bone marrow sample in plain or EDTA tube.

For cutaneous leishmaniasis - collect skin biopsy, fresh without any preservative (eg NO formalin).

 

 ",Leishmania PCRLaboratory:MicrobiologyTest Code:Misc. Microbiology SendawaySpecimen Types:Bone MarrowTissue,"Leishmania PCRLaboratory:MicrobiologyTest Code:Misc. Microbiology SendawaySpecimen Types:Bone MarrowTissueContainer Types:EDTA 10 mLPlain 70mL potCollection & Request Instructions:Department Head authorisation required.

For visceral leishmaniasis - collect bone marrow sample in plain or EDTA tube.

For cutaneous leishmaniasis - collect skin biopsy, fresh without any preservative (eg NO formalin).

 

 Transport Instructions between Sites and/or Laboratories:Room TemperatureAssay Frequency:By Arrangement",,"Leishmania PCRLaboratory:MicrobiologyTest Code:Misc. Microbiology SendawaySpecimen Types:Bone MarrowTissueContainer Types:EDTA 10 mLPlain 70mL potCollection & Request Instructions:Department Head authorisation required.

For visceral leishmaniasis - collect bone marrow sample in plain or EDTA tube.

For cutaneous leishmaniasis - collect skin biopsy, fresh without any preservative (eg NO formalin).

 

 Transport Instructions between Sites and/or Laboratories:Room TemperatureAssay Frequency:By ArrangementExternal Laboratory:SydPATH Blood & Bone Marrow Translplant Service",Bone MarrowTissue,Misc. Microbiology Sendaway,988,Room Temperature
Microbiology,Lymphocytic choriomeningitis virus PCRAlternative Names:LCMV PCR,,Weekly,Department Head authorisation required.,Lymphocytic choriomeningitis virus PCRAlternative Names:LCMV PCRLaboratory:MicrobiologyTest Code:Lymphocytic choriomeningitis virus (LCMV)Specimen Types:Cerebrospinal FluidTissue,Lymphocytic choriomeningitis virus PCRAlternative Names:LCMV PCRLaboratory:MicrobiologyTest Code:Lymphocytic choriomeningitis virus (LCMV)Specimen Types:Cerebrospinal FluidTissueContainer Types:CSF Tube 3Fresh Tissue PotCollection & Request Instructions:Department Head authorisation required.Transport Instructions between Sites and/or Laboratories:Room TemperatureAssay Frequency:Weekly,,Lymphocytic choriomeningitis virus PCRAlternative Names:LCMV PCRLaboratory:MicrobiologyTest Code:Lymphocytic choriomeningitis virus (LCMV)Specimen Types:Cerebrospinal FluidTissueContainer Types:CSF Tube 3Fresh Tissue PotCollection & Request Instructions:Department Head authorisation required.Transport Instructions between Sites and/or Laboratories:Room TemperatureAssay Frequency:WeeklyExternal Laboratory:V.I.D.R.L.,Cerebrospinal FluidTissue,Lymphocytic choriomeningitis virus (LCMV),989,Room Temperature
Microbiology,Lymphogranuloma venereum PCRAlternative Names:LGV PCR,,By Arrangement,"Only performed on patients positive for C.trachomatis.

Testing for LGV will automatically be performed on rectal swabs which are positive for C.trachomatis from patients where rectal symptoms are stated in the clinical notes on the request form or electronic order.",Lymphogranuloma venereum PCRAlternative Names:LGV PCRLaboratory:MicrobiologyTest Code:Lymphogranuloma venereum (LGV) PCRSpecimen Types:Swab,"MDU, Public Health Laboratory, Peter Doherty Ins.",Tests are batched.  Long turnaround time for results expected.,"Lymphogranuloma venereum PCRAlternative Names:LGV PCRLaboratory:MicrobiologyTest Code:Lymphogranuloma venereum (LGV) PCRSpecimen Types:SwabContainer Types:Cobas PCR media Uni Swab Sample kitDry SwabCollection & Request Instructions:Only performed on patients positive for C.trachomatis.

Testing for LGV will automatically be performed on rectal swabs which are positive for C.trachomatis from patients where rectal symptoms are stated in the clinical notes on the request form or electronic order.Transport Instructions between Sites and/or Laboratories:Room TemperatureAssay Frequency:By ArrangementExternal Laboratory:MDU, Public Health Laboratory, Peter Doherty Ins.Additional Notes:Tests are batched.  Long turnaround time for results expected.",Swab,Lymphogranuloma venereum (LGV) PCR,990,Room Temperature
Microbiology,Lyme PCR,0.5 mL,,Department Head approval required.,CSF Tube 3,Lyme PCRLaboratory:MicrobiologyTest Code:Misc. Microbiology SendawaySpecimen Types:Cerebrospinal FluidContainer Types:CSF Tube 3Adults Volume or Mass:0.5 mLCollection & Request Instructions:Department Head approval required.Transport Instructions between Sites and/or Laboratories:Room Temperature,,Lyme PCRLaboratory:MicrobiologyTest Code:Misc. Microbiology SendawaySpecimen Types:Cerebrospinal FluidContainer Types:CSF Tube 3Adults Volume or Mass:0.5 mLCollection & Request Instructions:Department Head approval required.Transport Instructions between Sites and/or Laboratories:Room TemperatureExternal Laboratory:PaLMS- Royal North Shore Hospital,Cerebrospinal Fluid,Misc. Microbiology Sendaway,991,Lyme PCRLaboratory:MicrobiologyTest Code:Misc. Microbiology SendawaySpecimen Types:Cerebrospinal FluidContainer Types:CSF Tube 3Adults Volume or Mass:0.5 mLCollection & Request Instructions:Department Head approval required.
Microbiology,Toxoplasma Serology (confirmation),,Weekly,Ordered by laboratory when required on Toxoplasma IgM positive samples.,"Toxoplasma Serology (confirmation)Laboratory:MicrobiologyTest Code:Toxoplasma Confirmation, TOXOCONFSpecimen Types:Serum","Toxoplasma Serology (confirmation)Laboratory:MicrobiologyTest Code:Toxoplasma Confirmation, TOXOCONFSpecimen Types:SerumContainer Types:SSTCollection & Request Instructions:Ordered by laboratory when required on Toxoplasma IgM positive samples.Transport Instructions between Sites and/or Laboratories:Room TemperatureAssay Frequency:Weekly",,"Toxoplasma Serology (confirmation)Laboratory:MicrobiologyTest Code:Toxoplasma Confirmation, TOXOCONFSpecimen Types:SerumContainer Types:SSTCollection & Request Instructions:Ordered by laboratory when required on Toxoplasma IgM positive samples.Transport Instructions between Sites and/or Laboratories:Room TemperatureAssay Frequency:WeeklyExternal Laboratory:V.I.D.R.L.",Serum,"Toxoplasma Confirmation, TOXOCONF",992,Room Temperature
Microbiology,Varicella-Zoster IgMAlternative Names:VZV IgM,,Weekdays,"Ordered by laboratory when clinical notes indicate a suspected VZV infection.

Detection by PCR is more useful than IgM detection.  This test is only recommended if specimen for PCR is unable to be obtained.","Varicella-Zoster IgMAlternative Names:VZV IgMLaboratory:MicrobiologyTest Code:Varicella Zoster Antibody IgM, VZVIGMSpecimen Types:Serum","Varicella-Zoster IgMAlternative Names:VZV IgMLaboratory:MicrobiologyTest Code:Varicella Zoster Antibody IgM, VZVIGMSpecimen Types:SerumContainer Types:SSTCollection & Request Instructions:Ordered by laboratory when clinical notes indicate a suspected VZV infection.

Detection by PCR is more useful than IgM detection.  This test is only recommended if specimen for PCR is unable to be obtained.Transport Instructions between Sites and/or Laboratories:Room TemperatureAssay Frequency:Weekdays",,"Varicella-Zoster IgMAlternative Names:VZV IgMLaboratory:MicrobiologyTest Code:Varicella Zoster Antibody IgM, VZVIGMSpecimen Types:SerumContainer Types:SSTCollection & Request Instructions:Ordered by laboratory when clinical notes indicate a suspected VZV infection.

Detection by PCR is more useful than IgM detection.  This test is only recommended if specimen for PCR is unable to be obtained.Transport Instructions between Sites and/or Laboratories:Room TemperatureAssay Frequency:WeekdaysExternal Laboratory:V.I.D.R.L.",Serum,"Varicella Zoster Antibody IgM, VZVIGM",993,Room Temperature
Microbiology,Naegleria Isozyme speciation,,,Discussion with Microbiology Unit Head required.,"Naegleria Isozyme speciationLaboratory:MicrobiologyTest Code:Naegleria Isozyme speciation, NAEGSpecimen Types:Cerebrospinal Fluid","Naegleria Isozyme speciationLaboratory:MicrobiologyTest Code:Naegleria Isozyme speciation, NAEGSpecimen Types:Cerebrospinal FluidContainer Types:CSF Tube 3Collection & Request Instructions:Discussion with Microbiology Unit Head required.Transport Instructions between Sites and/or Laboratories:Room Temperature",,"Naegleria Isozyme speciationLaboratory:MicrobiologyTest Code:Naegleria Isozyme speciation, NAEGSpecimen Types:Cerebrospinal FluidContainer Types:CSF Tube 3Collection & Request Instructions:Discussion with Microbiology Unit Head required.Transport Instructions between Sites and/or Laboratories:Room TemperatureExternal Laboratory:Australian Water Quality Centre",Cerebrospinal Fluid,"Naegleria Isozyme speciation, NAEG",994,"Naegleria Isozyme speciationLaboratory:MicrobiologyTest Code:Naegleria Isozyme speciation, NAEGSpecimen Types:Cerebrospinal FluidContainer Types:CSF Tube 3Collection & Request Instructions:Discussion with Microbiology Unit Head required."
